functional_genre,genre_confidence,speech_act,actual_cta,narrative_structure,image_role,image_caption_relation,target_audience,appeal_type,species_mentioned,register_tone,notes,post_id,vq_aesthetic,vq_production_effort,vq_human_presence,vq_people_role,vq_visual_species,vq_colour_mood,vq_on_image_text_amount,missed_visual_flag,missed_visual_why
internal culture showcase,high,celebrate,none,showcase,illustrative,adds-info,"general-public, supporters","emotional, identity",,warm-personal,"Post is entirely internal organisational culture content — a staff wellness/team-building event with no conservation or wildlife angle. The funky-socks framing and Sports Day fundraising link make this a lighthearted workplace morale post that happens to come from a Ministry account. No species, no conservation message, no call to action. The image confirms what the caption states and adds visual warmth through the crowd energy and colourful socks.",DWY0epAiNPH,competent,medium,crowd,"Ministry staff as subjects; posed group photo celebrating team-building activity, many prominently displaying colourful/patterned socks toward the camera",,"vibrant, warm — neon greens, reds, rainbow socks against a terracotta-orange building facade and bright overcast sky",none,False,Caption describes a group sock-showcase event; image delivers exactly that — a crowd of staff on steps displaying colourful socks. No unshown claim.
April Fools joke,high,other,none,other,illustrative,adds-info,"general-public, supporters","emotional, aesthetic",giraffe,playful,"The #AprilFools hashtag is the decisive interpretive key: the entire 'Savannah Sonatas' / 'Ultra-Ear' discovery framing is deliberate satire of wildlife science communication, not misinformation. Speech act is a mock-announcement parodying the 'new research finds…' genre. The image — five giraffes including at least three juveniles/calves, one adult bending toward a calf — adds genuine visual texture by showing the adult-offspring proximity that the joke caption riffs on. No CTA; engagement goal is purely social (shares, comments, brand warmth). Production quality is high: sharp focus, excellent depth of field, credited professional photographer (@felixrome_) on what appears to be a Masai Mara conservancy shoot, not a Namibian location — the account should be verified for geographic scope.",DWmZr1-Ewni,professional,high,none,none,giraffe,"warm golden-amber grass, pale blue sky — open savannah, soft natural light",none,False,The caption makes no genuine showable claim; the nocturnal singing detail is part of the joke and intentionally unillustrated. The image's adult-with-calves grouping sufficiently supports the comedic premise.
TV episode announcement,high,announce,none,none,decorative,unrelated,general-public,emotional|aesthetic,dog,promotional,"This is a broadcast TV episode promo for 'Groen: Namibië' (DStv kykNET), not an organic conservation communication piece. The image appears to be generic show artwork or a frame from an unrelated episode featuring a chameleon and a CGI scorpion — entirely disconnected from the anti-poaching K9 episode being announced. No dogs, no anti-poaching context, no Naankuse branding visible. The post's function is purely a viewing reminder with scheduling details (channel, date, time).",DV1elZ8D0VV,competent,medium,none,not present,chameleon; scorpion (CGI overlay),"vivid green, high-saturation, nature-fantasy feel",none,True,"Caption promotes an anti-poaching K9 unit episode — dogs, handlers, and bush tracking are all visually showable. The image instead shows a chameleon facing a digitally composited scorpion, which has no connection to the episode content (anti-poaching dogs). A still from the actual episode, a K9 dog in the field, or even the show's title card would have reinforced the episode's theme."
TV episode promotion,high,announce,Don't miss the roar. [implied: tune in Sunday 1 March 2026 at 20:30 on DStv kykNet Channel 144],showcase,decorative,contradicts,general-public,emotional|aesthetic,lion,promotional,"This is a broadcast TV programme promo (Groen: Namibië on kykNet) rather than an organic conservation message. The post's job is to drive viewership for Episode 7. The image appears to be generic or recycled show branding — possibly from a different episode focused on reptiles — and has no connection to the lion/Episode 7 subject. The naankuse.com URL links the organisation (N/a'an ku sê, which runs Rudie and Marlice van Dyk's wildlife work) but the post's primary function is media promotion, not conservation education.",DVRbbXIiHaN,competent,medium,none,none visible,chameleon; scorpion (digital composite/CGI),vivid green with golden neon overlay graphics — nature-meets-sci-fi feel,none,True,"The caption is entirely about lions ('a lion among lions', 'kings of the wild', 'iconic predators') but the image shows a chameleon and a digitally composited scorpion — no lion appears anywhere in the frame. This is a direct contradiction that undermines the announcement and squanders an obvious opportunity to show the advertised subject."
TV episode promotion,high,promote,"Don't miss this powerful episode showcasing the incredible story of these majestic lions. Only on DStv – kykNET (Channel 144), Sunday, 22 March, 8:30 PM",anecdote,unrelated,unrelated,general-public,emotional,lion,promotional,"Image appears to be stock or repurposed footage from an unrelated wildlife/nature documentary segment (possibly a different episode or show), overlaid with CGI and molecular-graph graphics. It bears no visual relationship to the lion rehabilitation story described in the caption. This is a significant image-caption mismatch: a viewer seeing only the image would have no idea the post is about lions or Naankuse. The post functions purely as a broadcast schedule announcement with emotional narrative framing in the copy to drive viewership.",DWHgK_VkmUt,competent,medium,none,none,chameleon; scorpion (CGI),"vivid green, high-saturation, digitally enhanced",minimal,True,"The caption narrates a specific, showable story about rescued lions rehabilitated from drought-stricken conflict zones and returned to the wild — a compelling, concrete subject. The image instead shows a chameleon facing a CGI scorpion with graphical overlays, which has no connection to lions, Naankuse Foundation, or the episode being promoted. A photo of lions in the wild, during rehabilitation, or even a show title-card would directly serve the promotion."
TV episode promotion,high,announce,"Don't miss the action! 📺 Sunday, 29 March ⏰ 20:30 📡 kykNET (DStv channel 144)",other,decorative,unrelated,general-public,emotional,cheetah,promotional,"This is a broadcast TV tune-in post for Episode 11 of 'Groen Namibië' on kykNET. The image appears to be generic show branding or a frame from a different episode rather than episode-specific content — the chameleon-plus-CGI-scorpion visual is thematically mismatched with the cheetah-release storyline described in the caption. No humans visible despite the caption naming two named presenters. The scorpion appears to be a CGI composite overlay, not a real filmed animal.",DWZose4CUA7,competent,medium,none,absent,chameleon; scorpion (CGI),vivid green with golden neon overlays — sci-fi / nature-documentary hybrid feel,none,True,"Caption centres on a cheetah release back into the wild — a visually dramatic, specific, showable event. The image shows a chameleon facing a CGI scorpion with sci-fi graphic overlays, which has no visible connection to the episode content (Rapid Response Unit, cheetah, Rudie and Marlice). A still or graphic from the actual cheetah-release footage would directly illustrate the claim and create far stronger incentive to watch."
TV episode promotion,high,announce,"Don't miss the wildest episode yet — Sunday, 5 April, 20:30, kykNET (DStv channel 144)",other,decorative,unrelated,general-public,emotional|aesthetic,brown hyena,playful,"This is a straightforward broadcast-TV tune-in post for the Afrikaans wildlife show 'Groen: Namibië' on kykNET. The playful caption uses humour ('humans questioning their life choices') to tease episode content. The image appears to be generic branded channel artwork (chameleon + CGI scorpion with glowing molecular graphic overlays) unrelated to the hyena storyline described. No conservation message, no donation ask, no scientific information — purely promotional scheduling content.",DWrjZUMCXX9,competent,medium,none,absent,chameleon; scorpion (CGI overlay),vivid green; high-saturation nature palette with golden graphic overlays suggesting a branded TV-show aesthetic,none,True,"The caption centres on a brown hyena and the human-wildlife 'cat and mouse' dynamic, but the image shows a chameleon facing a digitally composited scorpion — neither species is mentioned in the caption. A still or graphic featuring the hyena (or even Rudie/Marlice with wildlife) would directly illustrate the episode being promoted."
TV broadcast promotion,high,announce,"Do not miss this, in southern Africa on DSTV - Sunday 26 April 18:45 CAT. See the trailer here https://youtu.be/FoX0CNB8Us0?si=Y54bQse8-qcdB8Av",none,text-carrier,repeats,general-public,informational,lion,promotional,"This is a screenshot of a DSTV/National Geographic Wild programme listing, shared as-is. The communicative function is purely a broadcast announcement — alerting followers to an upcoming air date and time for 'Desert Lions: Surviving at Skeleton Coast'. No original content was produced; the image is a phone screenshot of a streaming-guide interface. A lion cub or adult is faintly visible in the background of the title card but is overwhelmed by overlaid text. The caption adds the YouTube trailer link as an additional action path.",DXfEn4XjoXB,screenshot-graphic,low,none,none visible; Dr. Philip Stander is named in on-image synopsis text but not shown,lion,dark/desaturated — black interface with muted dusty background still from the documentary,text-dominant,False,The post's sole purpose is airing-time information; the screenshot of the DSTV/NatGeo Wild listing is the appropriate and sufficient vehicle for that information.
programme teaser announcement,high,announce,none,none,symbolic,adds-info,general-public|supporters,aesthetic|identity,African elephant,warm-personal,"The post's primary function is to tease a new EHRA photographic series called 'EleFocus', not to persuade around a conservation issue. The rhetorical opening question ('What happens when you stop chasing the shot…') positions the programme around mindful wildlife photography practice rather than making a conservation argument. The image — a close-up of a desert-adapted elephant dust-bathing against rock — is independently strong: the dust spray, rim light, and visible tusk give it documentary intimacy that transcends mere illustration and reinforces the 'attentive observation' theme of the caption. No CTA is issued; followers are simply told 'more soon', making this a brand/programme launch tease.",DSkb8crjN7Y,professional,high,none,none visible,African elephant,"warm earthy tones — ochre dust, dark basalt rock, rim-lit grey skin; intimate and textural",none,False,"Caption makes no specific showable claim (no number, location, or before/after); the image functions as an atmospheric visual identity statement for the named programme, which it serves well."
wildlife encounter showcase,high,narrate,none,anecdote,illustrative,adds-info,tourists|general-public,emotional|aesthetic,kudu,warm-personal,"Post functions as a light-touch lodge-atmosphere vignette: the manicured lawn, decorative bottle-tree installation, and rock garden in the background signal a tourist lodge setting, making this implicitly promotional for the property while foregrounding the charming wildlife encounter. The kudu is a female or juvenile (no horns). Image adds spatial context (lodge grounds) that the caption does not spell out. No conservation messaging, no data, no advocacy — purely ambient storytelling.",DQyN1z-jWP2,competent,medium,none,not applicable,"kudu (female/juvenile, no horns visible)","lush green, warm earthy tones, overcast natural light",none,False,"The caption makes no specific showable claim beyond 'kudu on the lawn'; the image delivers exactly that, close-up and in context."
lodge atmosphere showcase,high,promote,none,showcase,illustrative,repeats,tourists,aesthetic|emotional,impala,warm-personal,"The post functions primarily as a destination mood piece for Harnas Wildlife Foundation / lodge. The caption anthropomorphises the impala ('unhurried and free') to evoke tranquillity and implicitly market the guest experience rather than convey conservation information. The image is technically strong — golden-hour backlighting, clean subject separation, no on-image text — and confirms the species claim exactly. No informational content, no conservation message, no CTA. Closest genre analogue is a tourism lifestyle post.",DTINIX7jsOm,professional,high,none,n/a,impala,warm golden-hour amber and deep bush shadow — serene and saturated,none,False,Caption makes no specific showable claim beyond what the image delivers; the impala browsing in golden-hour bush light is exactly what is described.
lodge atmosphere promo,high,promote,none,showcase,illustrative,repeats,tourists,aesthetic|emotional,,warm-personal,"The image foregrounds the branded Ongava Game Reserve Land Cruiser door panel (rhino logo clearly legible) with a golden sunset behind it and a ranger's legs perched on top — a polished lifestyle/brand shot. No wildlife species appear in the frame despite the rhino logo on the vehicle. The caption is evocative prose about dusk in the bush ('golden hour', 'tracks', 'sounds') but makes no specific showable claim, so the absence of actual animals is an aesthetic choice rather than a missed opportunity. The post functions as aspirational lodge promotion: it sells the feeling of a game drive at sunset, not any conservation message or information.",DTrtFpEjvQr,professional,high,one-person,"anonymous guide/ranger seated on roof of game-drive vehicle, legs only visible — evokes the safari experience without centring a named individual",,warm golden-hour amber and deep olive/charcoal; moody sunset sky with purple-orange tones,minimal,False,Caption is purely atmospheric; no specific factual claim that demands a different image.
lodge rebrand announcement,high,announce,none,milestone,illustrative,adds-info,tourists,aesthetic|identity,,warm-personal,"A four-panel vertical composite (likely a Reel thumbnail or Story cover) announces the rebranding of Ongava Tented Camp as 'Encounter by Ongava'. Panels show: woodland canopy, a rattan armchair on a timber deck overlooking bush, a lantern-lit path through mopane scrub, and close-up of terminalia leaves with red fruit. No wildlife visible; the visual argument is purely atmosphere — slow, immersive, place-connected luxury. The copy leans into sensory language ('rhythm', 'natural pace') consistent with premium eco-lodge repositioning rather than conservation advocacy.",DU2k5TgCEm4,professional,high,none,no people present,,"muted earthy greens and terracottas, soft overcast light, calm and intimate",none,False,"The caption makes no specific showable claim (no numbers, no before/after); the woodland atmosphere it evokes is represented adequately by the landscape and vegetation imagery."
lodge experience promotion,high,promote,none,showcase,illustrative,adds-info,tourists,aesthetic|emotional|identity,,warm-personal,"Shot from inside a game-drive vehicle looking down at a guide inspecting tracks on a dirt road; sparse thornbush background. No wildlife visible. The image successfully conveys authentic, immersive guiding rather than glossy resort imagery, which aligns with the 'authenticity in details' caption theme, but the caption's breadth (walks, drives, sundowners, connection with nature) is narrower than what one image can carry alone.",DUQMkcKCKzR,competent,medium,one-person,"safari guide, shown in action pointing/tracking from road-level beside a game-drive vehicle — positions staff as expert naturalist",,"warm ochre and dusty beige; dry-season palette, hazy overcast sky; intimate and grounded",none,True,"Caption explicitly invokes walking safaris, game drives, and sundowners as distinct experiential pillars — the image shows only one guide pointing at a track from a vehicle window, which illustrates just one narrow slice. No wildlife, no sundowner scene, no walking-safari moment; the caption's multi-experience claim goes largely unshown."
seasonal tourism promotion,high,invite,come stay at Harnas Guest Farm to meet our wild friends,showcase,illustrative,adds-info,tourists,emotional|aesthetic,cheetah,warm-personal,"Classic Valentine's Day peg post repurposing existing wildlife photography. The two cheetahs photographed from behind reading into the bush work perfectly as a 'companionship' visual hook. No conservation message; the primary function is lodge bookings via an emotional/seasonal angle. No conservation data, statistics, or before/after claims that the image fails to show.",DUuxi5_DvLg,professional,high,none,none,cheetah,"warm golden savanna tones — sandy ochre foreground, pale straw grass, soft overcast sky",none,False,The caption's core claim — two animals side by side as a companionship metaphor — is directly and effectively shown by the two cheetahs resting together on the sand.
sanctuary atmosphere showcase,high,promote,none,showcase,illustrative,repeats,tourists|general-public,aesthetic|emotional,impala; wildebeest,warm-personal,"Classic destination-mood post for Harnas Wildlife Sanctuary. The caption is purely evocative ('open skies', 'gentle rhythm') with no conservation argument, statistic, or ask — function is ambient place-branding to sustain aspirational tourism interest. Image confirms both species and matches the wide-open-veld framing of the caption. The wildebeest in the foreground is actually a black wildebeest (Connochaetes gnou), distinguishable by its dark colouring and forward-curved horns, which is a slightly more specific identification than the caption provides. No CTA, no persuasion frame.",DWGNnrpDtYm,professional,medium,none,n/a,impala; wildebeest,"warm golden-hour savanna — amber grass, pale blue sky, muted greens",none,False,Caption makes no specific quantitative or locational claim that the image fails to show; both species named in the caption are visibly present in the frame.
lodge experience promotion,high,promote,none,showcase,illustrative,repeats,tourists,aesthetic|emotional,,warm-personal,"Post functions as aspirational lodge marketing, inviting tourists to imagine a sundowner experience at Harnas Wildlife Foundation's viewpoint. The image shows the physical infrastructure (elevated deck, rustic table and chairs, bush panorama) competently but at the wrong time of day; the golden-hour and wildlife elements that make the caption evocative are entirely absent from the frame. No explicit CTA is given — the imperative mood ('Stay… enjoy… watch') reads as a soft invitation rather than a direct action request (no link, no booking prompt).",DWN8CmPDmjg,professional,medium,none,absent,,"bright, arid midday — clear blue sky, sandy neutral tones, sparse green bush",none,True,"Caption promises wildlife gathering across the veld at sunset, but the image shows the viewpoint deck in full midday sun with no animals visible and no golden-hour light — the specific experiential claim (sundowner atmosphere, wildlife) goes entirely unshown."
lodge experience promotion,high,promote,"Step into culture, tradition, and the living history of the San community.",showcase,illustrative,adds-info,tourists,emotional|aesthetic|identity,,promotional,"Post functions as aspirational tourism marketing for Harnas lodge's cultural programme. The image is professionally shot and energetically composed, but it is essentially a performance documentation shot rather than a participation shot, creating a modest tension with the caption's emphasis on guest immersion. No wildlife or conservation content; this is purely a cultural-tourism promotion post.",DWTFsBgjvPD,professional,high,group,San community members performing traditional dance in animal-skin garments and beaded headbands; no guests or staff visible,,"warm earthy ochres and sandy tones, vivid blue sky, dappled acacia-green — bright and inviting",none,True,Caption's central claim is guest participation — 'link arms literally' and 'joining in on dance moves' — but the image shows only San performers with no guests visible. A shot of a guest dancing alongside community members would have directly evidenced the interactive promise being sold.
notable-visitor showcase,high,celebrate,none,anecdote,illustrative,adds-info,"supporters, general-public, peers/researchers","emotional, identity",,warm-personal,"A candid, low-production meet-and-greet snapshot taken inside a busy Gobabeb office. No conservation messaging, no wildlife, no CTA. The post functions as a relationship-building and community-celebration moment — name-dropping two recognisable figures in southern African exploration/science to signal institutional prestige and insider access. The cluttered background is uncontrolled and somewhat distracting but consistent with an authentic behind-the-scenes register. No species appear in the frame despite this being a desert-research station.",DUFkxsrAbe6,amateur,low,group,Two named individuals (Kingsley Holgate and Eugene Marais) are the sole subjects; posed informally in a cluttered office/lab workspace — the people ARE the content,,"warm ochre and khaki; natural daylight through blinds; busy, cluttered background drains visual focus",minimal,False,Caption makes no specific showable conservation claim — it is a personal encounter post and the image delivers exactly that: the two named individuals together at the Gobabeb site.
institutional agreement announcement,high,announce,none,milestone,illustrative,adds-info,peers/researchers|policymakers|general-public,informational|identity,,institutional-formal,"This is a diplomatic/institutional milestone post with no conservation or wildlife content. The image adds genuine documentary value by showing the actual signing moment rather than a stock photo. No species or conservation framing is present; the post sits in a water-governance / international-relations register. The GWPO backdrop logo is partially visible, lending institutional legitimacy. No call to action; the sole communicative purpose is to publicly mark and disseminate a governmental achievement.",DUneNtoiFmf,professional,high,group,"Officials (at least four) actively signing a formal agreement document at a ceremonial table; wearing formal attire with boutonnières, suggesting a high-protocol diplomatic event.",,"dark and formal — black table, dark suits, red accents (ties, folder trim, boutonnières) against a light branded backdrop with blue-green diamond logos",none,False,The caption announces a signing ceremony and the image shows exactly that — officials at a table signing documents. The visual directly corroborates the claim.
partnership experience showcase,high,narrate,none,anecdote,illustrative,adds-info,"peers/researchers, supporters, general-public","aesthetic, emotional",,warm-personal,"Post functions as a relationship-building story beat documenting a university partnership (Dartmouth College) visit to Gobabeb Research Station. No wildlife or species content; the image shows a buffet/dinner setup laid out on folding tables in the dunes at dusk, lit by lanterns — confirming the 'desert lanterns' metaphor in the caption. The romantic framing ('the Namib delivered its magic') positions Gobabeb as an experiential destination for researchers, subtly promoting the site without a hard CTA. One barely-visible silhouetted person at far right; otherwise no human subjects. No species in frame or caption.",DQt0XptgQN5,competent,medium,one-person,"incidental background presence, barely visible at right edge — the scene rather than the people is the subject",,deep twilight blues and purples contrasted with warm amber lantern glow and red accent lights; sandy foreground; atmospheric and moody,none,False,"The caption makes no specific showable claims (no counts, no before/after, no species sighting) — the atmosphere of a desert night camp is exactly what the image delivers"
weekend greeting post,high,celebrate,none,none,illustrative,repeats,general-public,emotional|aesthetic,giraffe,warm-personal,"Classic TGIF content-calendar filler post built around a wordplay pun ('Thank Giraffe It's Friday'). Primary function is community warmth and follower retention rather than conservation education or fundraising. The image — a sharp, well-composed portrait of a young giraffe in green grassland, credited to a guest photographer — is aesthetically strong but carries no informational content beyond species presence. No conservation message, data, or call to action is present. Photographer credit doubles as a soft community-engagement gesture.",DTTQcXSDwcQ,professional,high,none,none,giraffe (juvenile/calf),"warm amber-brown against lush green savanna, soft blue-grey sky bokeh — uplifting, gentle",none,False,"Caption makes no specific showable claim (no number, location, or before/after); the giraffe image directly enacts the pun and mood"
volunteer thank-you,high,thank,drop it in the comments,milestone,illustrative,adds-info,supporters,emotional|identity,elephant,warm-personal,"The image shows three people collaboratively building a dry-stone wall with a wheelbarrow of mortar in a desert setting — visually reinforcing the hands-on, physical nature of volunteering at EHRA, though it depicts fieldwork rather than the award or the CEO named in the caption. No wildlife or elephants are visible despite the elephant emoji in the caption. The elephant is mentioned symbolically/as a brand marker, not as a subject of the post. The post's primary function is communal gratitude and community-building (prompting comments), anchored to an award milestone.",DXgjOMjoc5M,competent,medium,group,volunteers performing manual construction labour (dry-stone walling) in an arid Namibian landscape,,"warm earth tones — terracotta stone, ochre sand, pale blue sky; energetic and sun-drenched",none,True,Caption references a named award (Regenerative Tourism) and a named CEO (Rachel Harris); the image shows neither the award nor Rachel Harris — a photo of the CEO holding the award would have directly illustrated the milestone being celebrated.
rescue case narration,high,narrate,none,anecdote,illustrative,adds-info,general-public,emotional,Cape fur seal,warm-personal,"The image clearly shows a small Cape fur seal pup with what appears to be rope or netting entangled around its neck/torso area, surrounded by other seals on a sandy beach. A conservation organisation watermark/logo is visible in the top-left corner. The post functions as a field-rescue anecdote — documenting and sharing a specific intervention case — rather than making a broader persuasive argument. The emotional appeal is implicit (vulnerable pup, visible entanglement) rather than explicit. No call to action is present in the caption provided; impact is conveyed through the visual evidence alone.",DV8HsvgjHW4,competent,medium,none,no humans visible,Cape fur seal,"warm golden-sand tones, natural light, earthy brown",minimal,False,The image directly shows the central claim — a young seal with entanglement material (rope/netting) visibly around its neck/body — corroborating the caption without gap
sponsorship solicitation,high,invite,Visit cheetah.org/get-involved/ways-to-give/sponsor/,explainer/list,illustrative,adds-info,"donors,general-public,supporters","emotional,informational",cheetah,warm-personal,"Two cheetah cubs are curled together in a tight close-up, eyes closed — a deliberately affective image that primes the sponsorship request in the caption's 'Did you know' hook. The post combines light programme information (CRCC context, founding year, care model) with a direct fundraising CTA, making its primary function donor activation rather than pure conservation education. The image adds emotional valence but does not illustrate any of the specific factual claims (e.g. age range from cubs to seniors, individualized care).",DVe15yLj6YW,competent,medium,none,none visible,cheetah,"warm golden-tan, soft natural light",none,False,"Caption makes no specific showable claim (number, place, before/after) that the image ignores; the close-up portrait effectively delivers the emotional appeal underpinning the sponsorship ask"
rescue appeal,high,request,none,problem-solution,illustrative,repeats,"general-public,donors,supporters","emotional,identity",Cape fur seal,urgent,"Likely a Reel thumbnail or opening frame. The colony wide-shot functions as scene-setting context but is decoupled from the caption's specific entanglement narrative. No explicit CTA appears in the caption text supplied; any donation link or volunteer ask would be in the first comment or bio. The org logo (Ocean Conservation Namibia) is the only on-image text. Appeal rests entirely on implied animal vulnerability rather than shown evidence, weakening the persuasive case the caption sets up.",DVn1_0tkheU,competent,low,none,absent,Cape fur seal,"muted grey-brown; flat overcast light, desaturated beach tones",minimal,True,"The caption makes a specific, showable claim: a seal entangled in plastic that cannot free itself without human intervention. The image shows only a generic undifferentiated colony with no plastic visible and no individual in distress. A close-up of the entangled animal — the actual subject of the caption — would have directly evidenced the claim and dramatically amplified the emotional appeal."
rescue outcome showcase,medium,narrate,none,problem-solution,illustrative,adds-info,"general-public, supporters","emotional, identity",Cape fur seal,warm-personal,"Caption is a first-person address from rescuer to the rescued seal, framing the free colony as the prize restored by the rescue — the implied arc is plastic entanglement → rescue → release, but only the endpoint is shown. Image is a field snapshot of a large Cape fur seal colony (likely Cape Cross), taken from a vehicle window. Ocean Conservation Namibia logo in top-left is the only on-image text. Genre confidence is medium because this may be a final frame of a multi-image carousel or video that showed the rescue itself; as a standalone it reads as a feel-good outcome post with no explicit ask.",DW1FxNZDbnS,competent,low,none,no people visible; shot appears taken from inside a vehicle,Cape fur seal,"muted, flat overcast light; warm ochre sand dominates, grey-white sky",minimal,True,"The caption implies a specific rescue from plastic entanglement (confirmed by #sealrescues and #plasticpollution) and addresses the individual animal directly, but the image is a generic wide-shot of a colony — no rescued individual, no plastic removed, no before/after contrast. The specific act of salvation that gives the caption its emotional charge is entirely unvisualised."
individual rescue narrative,high,narrate,Visit cheetah.org/get-involved/ways-to-give/sponsor,anecdote,illustrative,repeats,"donors,supporters,general-public","emotional,identity",cheetah,warm-personal,"Classic 'cheetah of the month' donor-cultivation format: named individual animal + rescue backstory + sponsorship CTA. The image is a tight face shot of a young cheetah resting on a fleece blanket — emotionally engaging but functionally only illustrative; it confirms the animal's existence without adding any of the factual content (location, group size, rehabilitation progress) described at length in the caption. The blurred rectangle in the lower-right corner suggests a logo or watermark was redacted in preprocessing. Post reads as a recurring series (recurring label 'Cheetah of the Month'), indicating a structured donor-engagement programme rather than a one-off announcement.",DW69EwJESBc,competent,medium,none,absent,cheetah cub,"warm amber and grey; intimate, soft",none,True,"The caption describes a specific rescue event involving ten confiscated cubs and collaborative anti-trafficking efforts across Somaliland — showable claims (group of cubs, rescue scene, rehabilitation progress, the naturalistic enclosure Aidan lives in today). The image shows only a close-up of the cub's face resting on a blanket, which is emotionally effective but ignores every concrete, verifiable claim in the caption. A before/after rehabilitation image or a shot of the enclosure would have substantiated the narrative."
crisis narration post,medium,narrate,none,anecdote,illustrative,adds-info,general-public|supporters,emotional,,urgent,"This appears to be a video still (subtitle text 'I know I know I know' is overlaid, suggesting it is a frame from a Reel or Story). The organisation logo is visible top-left. No animal species is identifiable in the frame; the black mesh object could be a transport bag or snare-removal bag. The caption title 'Tragedy Unfolding In Real Time' frames this as live crisis content — a common Instagram Reels hook designed to drive continued viewing — but the still image alone cannot deliver that payoff. Genre confidence is medium because without the full video context the complete communicative function (rescue documentation vs. poaching report vs. advocacy hook) remains ambiguous.",DWgLGvxDPxZ,competent,medium,one-person,"field worker/rescuer — gloved hand handling what appears to be an animal transport or restraint bag, shown anonymously",,"high-contrast red-and-yellow against dark mesh and sandy earth — visceral, field-action feel",minimal,True,"The caption declares a 'tragedy unfolding in real time' but the image shows only a gloved hand resting on what appears to be a black mesh/transport bag — the animal or situation in distress that would make the tragedy legible is not visible, leaving the viewer without the concrete, showable subject the caption promises."
partnership showcase,high,inform,none,showcase,illustrative,adds-info,"supporters,peers/researchers,general-public","emotional,social-normative,identity",elephant,warm-personal,"The foreground subject wears a Namibia ranger patch, grounding the national-government partnership claim visually. The blood vial held up is the clearest visual signal that a medical/research procedure is underway, but without wider context a casual viewer may not read the brownish surface as an elephant. The post functions as an internal-facing celebration of collaborative fieldwork rather than a public-facing persuasion piece; the caption does all the explanatory and normative work while the image provides emotional authenticity.",DVdps8pDG1E,competent,medium,group,"Namibian ranger (foreground, uniformed, smiling directly at camera) and two to three other team members/community members in the background, one holding a blood-sample vial aloft—active participants in the collaring operation",elephant,"warm, sun-drenched earth tones with vivid blue sky; energetic and field-authentic",none,True,"The caption names five distinct partner organisations and mentions local communities, but the image shows only the human team working on the sedated elephant—no collaring equipment, no aerial/AWCT presence, no community members visibly identified. The elephant itself is barely recognisable as such (only its skin texture is visible); a wider frame or a second image showing the collar being fitted would have made the operation concrete rather than abstract."
lodge amenity promotion,high,promote,none,problem-solution,illustrative,adds-info,tourists,informational|economic,,warm-personal,"Post functions as a soft accommodation feature — reassuring potential guests that self-catering rooms are fully kitted out so they need not pack cookware. The 'Save Energy' and 'Save Water' stickers visible on the wall are incidental environmental messaging, not the communicative intent of the post. No wildlife or conservation content; this is purely lodge marketing.",DTNWuvpjhud,competent,medium,none,n/a,,"neutral/warm — beige walls, white shelving, natural-toned concrete counter with botanical-print accents",minimal,False,"The caption claims self-catering rooms are fully equipped; the image directly shows the kitchen counter, appliances, and crockery, confirming that claim visually."
lodge rebrand announcement,high,announce,none,milestone,illustrative,adds-info,tourists,"aesthetic,identity",,promotional,"Post is a brand-transition announcement (Ongava Tented Camp → Encounter by Ongava). The image does useful work by signalling a design upgrade — the carefully styled lounge conveys the elevated aesthetic of the rebranded camp — but it is semantically misaligned with the caption's wildlife-immersion framing. No species are named or shown. No explicit CTA is present; the closing line 'Welcome to Encounter by Ongava' is a greeting formula, not an action prompt. Tone is lyrical-promotional rather than urgent or informational.",DUvBEwdiOJq,professional,high,none,n/a,,"warm amber and honey from woven pendant lights against neutral plaster, raw timber, and white linen — upscale safari-earthy palette",none,True,"The caption centres on unscripted wildlife encounters and bush rhythms as the camp's defining promise, but the image shows only the lodge interior; a wildlife scene or bush landscape would have made the experiential claim visible rather than leaving it to the reader's imagination."
bursary recruitment announcement,high,recruit,Visit www.eif.org.na for information,explainer/list,text-carrier,repeats,youth,informational|economic,,institutional-formal,"The post is a formatted recruitment flyer for the Environmental Investment Fund of Namibia's 2026 bursary programme targeting Namibian youth (18–35) for under- and post-graduate study in environmental/conservation fields. The image carries the full informational payload (eligibility criteria, study fields, deadline 30 Nov 2025, contact details), making the caption almost redundant. A small elephant graphic appears bottom-right as a decorative brand element, not as substantive wildlife content. No species are mentioned in the caption; the elephant in the image is purely ornamental. The mismatch between the caption's 'Now Open' framing and the flyer's 'Due Date: 30 November 2025' deadline is worth noting for coding consistency.",DQlvwlSjZA2,competent,medium,none,n/a,elephant,"earthy olive-green and warm brown; muted, semi-official",text-dominant,False,This is an institutional call-for-applications flyer; no specific showable claim is made in the caption that the image omits — the image itself contains all the substantive detail.
media launch announcement,high,announce,none,milestone,text-carrier,repeats,"general-public,supporters","informational,identity",cheetah,promotional,"This is a video-premiere announcement for CheetahTV (an organisation-run wildlife streaming channel). The caption appears truncated ('The new season of') but the image completes the message. Jeff Corwin is named as a celebrity guest, which is the main hook. The image functions purely as a title card — likely a frame extracted from the opening of the video itself. No wildlife photography or organisational branding is present beyond the brand-coloured typography.",DVeHLEsEZn4,screenshot-graphic,low,none,none visible,,"dark/black with white and amber/gold type — minimal, title-card style",moderate,True,"The post announces a TV premiere featuring celebrity wildlife host Jeff Corwin, yet shows only typographic text on a black background. A still of Jeff Corwin, a cheetah, or a CheetahTV show thumbnail would have illustrated the event and raised visual engagement; the current image adds nothing beyond what the caption already states."
